month,class_name,subject,attendance_rate,avg_score,student_count,failing_count
2024-04,A組,数学,92.6,73.8,28,1
2024-04,A組,英語,88.1,72.8,33,1
2024-04,A組,理科,91.4,77.9,32,0
2024-04,A組,社会,93.6,78.3,30,2
2024-04,A組,国語,92.9,74.6,35,1
2024-04,B組,数学,88.2,69.8,28,2
2024-04,B組,英語,84.3,76.1,33,2
2024-04,B組,理科,85.1,72.7,34,3
2024-04,B組,社会,87.0,72.2,30,5
2024-04,B組,国語,84.7,65.9,35,3
2024-04,C組,数学,88.8,69.4,30,1
2024-04,C組,英語,87.6,73.7,29,3
2024-04,C組,理科,84.3,71.2,35,2
2024-04,C組,社会,88.2,71.1,30,3
2024-04,C組,国語,86.2,71.4,31,3
2024-04,D組,数学,79.0,59.2,33,3
2024-04,D組,英語,79.2,71.0,33,3
2024-04,D組,理科,75.0,60.0,31,5
2024-04,D組,社会,81.8,66.3,32,6
2024-04,D組,国語,78.6,67.1,28,4
2024-05,A組,数学,89.4,73.5,34,0
2024-05,A組,英語,92.3,80.8,30,0
2024-05,A組,理科,92.3,80.5,31,0
2024-05,A組,社会,90.7,76.5,34,0
2024-05,A組,国語,89.6,79.9,35,0
2024-05,B組,数学,87.2,72.2,32,3
2024-05,B組,英語,85.8,67.9,32,2
2024-05,B組,理科,82.4,63.4,30,1
2024-05,B組,社会,87.0,65.5,34,1
2024-05,B組,国語,85.1,73.7,35,1
2024-05,C組,数学,85.5,65.2,29,1
2024-05,C組,英語,81.7,72.2,31,2
2024-05,C組,理科,84.5,62.8,31,2
2024-05,C組,社会,86.6,70.1,33,4
2024-05,C組,国語,85.4,64.9,34,2
2024-05,D組,数学,84.1,67.0,28,5
2024-05,D組,英語,84.4,55.0,30,3
2024-05,D組,理科,78.8,55.0,35,6
2024-05,D組,社会,79.3,55.0,31,2
2024-05,D組,国語,82.5,74.0,34,10
2024-06,A組,数学,92.8,74.0,34,0
2024-06,A組,英語,90.4,76.3,30,0
2024-06,A組,理科,91.7,82.3,32,1
2024-06,A組,社会,89.9,71.3,29,0
2024-06,A組,国語,91.9,85.0,30,1
2024-06,B組,数学,84.8,64.1,28,1
2024-06,B組,英語,84.2,80.6,31,1
2024-06,B組,理科,83.7,74.7,34,3
2024-06,B組,社会,85.6,69.8,29,1
2024-06,B組,国語,84.9,63.9,29,0
2024-06,C組,数学,86.4,77.9,29,2
2024-06,C組,英語,86.7,76.5,35,2
2024-06,C組,理科,85.0,75.5,33,3
2024-06,C組,社会,86.5,63.9,33,0
2024-06,C組,国語,90.1,78.6,33,2
2024-06,D組,数学,84.4,55.4,29,3
2024-06,D組,英語,81.9,59.6,31,4
2024-06,D組,理科,81.0,70.4,29,5
2024-06,D組,社会,81.9,55.0,35,4
2024-06,D組,国語,76.3,56.7,33,4
2024-07,A組,数学,93.8,72.7,31,1
2024-07,A組,英語,93.0,76.1,28,0
2024-07,A組,理科,94.0,80.2,32,2
2024-07,A組,社会,90.6,77.1,30,1
2024-07,A組,国語,92.4,73.7,33,1
2024-07,B組,数学,92.3,79.4,31,1
2024-07,B組,英語,85.3,62.7,34,1
2024-07,B組,理科,89.0,66.4,28,1
2024-07,B組,社会,80.6,69.2,35,0
2024-07,B組,国語,91.5,67.4,34,1
2024-07,C組,数学,85.8,61.2,32,0
2024-07,C組,英語,82.8,64.5,29,5
2024-07,C組,理科,93.3,64.1,30,1
2024-07,C組,社会,90.3,65.1,29,2
2024-07,C組,国語,87.9,72.2,32,1
2024-07,D組,数学,75.9,60.6,29,4
2024-07,D組,英語,80.7,58.7,32,5
2024-07,D組,理科,80.5,64.1,33,5
2024-07,D組,社会,80.0,57.7,31,5
2024-07,D組,国語,88.4,74.6,29,8
2024-08,A組,数学,92.8,74.9,28,0
2024-08,A組,英語,92.5,79.9,34,0
2024-08,A組,理科,93.9,79.8,30,0
2024-08,A組,社会,92.5,78.2,34,0
2024-08,A組,国語,91.8,77.0,35,1
2024-08,B組,数学,79.6,68.8,34,2
2024-08,B組,英語,86.7,68.1,29,0
2024-08,B組,理科,90.3,62.3,31,3
2024-08,B組,社会,85.2,69.7,29,0
2024-08,B組,国語,89.3,72.9,30,5
2024-08,C組,数学,88.9,72.2,31,5
2024-08,C組,英語,88.1,68.5,33,2
2024-08,C組,理科,84.3,74.9,32,0
2024-08,C組,社会,85.5,75.9,33,3
2024-08,C組,国語,90.6,73.7,33,0
2024-08,D組,数学,76.5,58.9,29,8
2024-08,D組,英語,81.9,57.8,28,2
2024-08,D組,理科,76.4,58.0,30,5
2024-08,D組,社会,83.5,65.7,33,0
2024-08,D組,国語,80.2,64.5,32,8
2024-09,A組,数学,87.9,75.6,34,1
2024-09,A組,英語,95.0,79.5,28,1
2024-09,A組,理科,90.9,81.3,33,2
2024-09,A組,社会,92.5,79.1,35,0
2024-09,A組,国語,91.7,77.4,28,1
2024-09,B組,数学,83.4,69.4,35,4
2024-09,B組,英語,84.1,65.9,32,2
2024-09,B組,理科,86.0,76.6,31,3
2024-09,B組,社会,88.1,72.8,35,5
2024-09,B組,国語,81.0,78.0,33,1
2024-09,C組,数学,86.3,76.5,31,0
2024-09,C組,英語,82.0,66.0,30,3
2024-09,C組,理科,87.3,71.4,31,0
2024-09,C組,社会,86.1,67.6,35,3
2024-09,C組,国語,87.8,70.7,33,3
2024-09,D組,数学,81.6,57.8,35,4
2024-09,D組,英語,80.6,66.9,30,4
2024-09,D組,理科,79.2,61.3,33,6
2024-09,D組,社会,75.0,55.0,30,2
2024-09,D組,国語,78.0,66.5,34,4
