Timestamp,EquipmentID,EquipmentName,Temperature,Vibration,Pressure,RPM,OperationStatus
2024/01/01 00:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/01 01:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/01 02:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/01 03:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/01 04:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/01 05:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/01 06:00,E-002,プレス機B,75.49,1.636,1.195,1530.0,1
2024/01/01 07:00,E-002,プレス機B,80.34,2.098,1.087,1463.7,1
2024/01/01 08:00,E-002,プレス機B,81.29,1.59,1.409,1449.9,1
2024/01/01 09:00,E-002,プレス機B,78.28,1.766,1.32,1464.0,1
2024/01/01 10:00,E-002,プレス機B,78.37,1.906,1.212,1492.1,1
2024/01/01 11:00,E-002,プレス機B,81.43,1.965,1.248,1499.9,1
2024/01/01 12:00,E-002,プレス機B,78.58,1.877,1.313,1522.4,1
2024/01/01 13:00,E-002,プレス機B,71.96,2.308,1.073,1485.4,1
2024/01/01 14:00,E-002,プレス機B,89.45,2.195,1.32,1466.0,1
2024/01/01 15:00,E-002,プレス機B,80.19,1.899,1.206,1472.8,1
2024/01/01 16:00,E-002,プレス機B,81.19,1.693,1.203,1446.0,1
2024/01/01 17:00,E-002,プレス機B,82.34,2.218,1.328,1504.1,1
2024/01/01 18:00,E-002,プレス機B,80.53,2.157,1.336,1477.7,1
2024/01/01 19:00,E-002,プレス機B,76.82,2.886,1.246,1463.4,1
2024/01/01 20:00,E-002,プレス機B,82.6,2.101,1.131,1508.1,1
2024/01/01 21:00,E-002,プレス機B,79.43,1.556,1.443,1495.6,1
2024/01/01 22:00,E-002,プレス機B,72.41,2.711,1.379,1479.7,1
2024/01/01 23:00,E-002,プレス機B,89.54,2.064,1.297,1463.5,1
2024/01/02 00:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/02 01:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/02 02:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/02 03:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/02 04:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/02 05:00,E-002,プレス機B,0.0,0.0,0.0,0.0,0
2024/01/02 06:00,E-002,プレス機B,83.49,2.191,1.302,1460.3,1
2024/01/02 07:00,E-002,プレス機B,80.78,1.972,1.14,1443.2,1
2024/01/02 08:00,E-002,プレス機B,83.39,0.959,1.325,1468.0,1
2024/01/02 09:00,E-002,プレス機B,87.85,1.803,1.379,1470.1,1
2024/01/02 10:00,E-002,プレス機B,80.68,2.295,1.244,1504.9,1
2024/01/02 11:00,E-002,プレス機B,74.04,2.118,1.411,1496.5,1
