date,product_id,product_name,category,sales_qty,stock_qty,reorder_point,order_qty,lead_time_days,source_file
2023-10-01,P-F001,コーヒー豆 200g,食品,38,244,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-02,P-F001,コーヒー豆 200g,食品,27,217,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-03,P-F001,コーヒー豆 200g,食品,11,206,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-04,P-F001,コーヒー豆 200g,食品,17,189,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-05,P-F001,コーヒー豆 200g,食品,25,164,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-06,P-F001,コーヒー豆 200g,食品,28,136,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-07,P-F001,コーヒー豆 200g,食品,37,449,112,350,3,01_食品_日次売上_2023Q4.csv
2023-10-08,P-F001,コーヒー豆 200g,食品,30,419,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-09,P-F001,コーヒー豆 200g,食品,27,392,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-10,P-F001,コーヒー豆 200g,食品,25,367,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-11,P-F001,コーヒー豆 200g,食品,24,343,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-12,P-F001,コーヒー豆 200g,食品,30,313,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-13,P-F001,コーヒー豆 200g,食品,32,281,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-14,P-F001,コーヒー豆 200g,食品,33,248,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-15,P-F001,コーヒー豆 200g,食品,37,211,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-16,P-F001,コーヒー豆 200g,食品,17,194,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-17,P-F001,コーヒー豆 200g,食品,25,169,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-18,P-F001,コーヒー豆 200g,食品,23,146,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-19,P-F001,コーヒー豆 200g,食品,24,122,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-20,P-F001,コーヒー豆 200g,食品,27,445,112,350,3,01_食品_日次売上_2023Q4.csv
2023-10-21,P-F001,コーヒー豆 200g,食品,44,401,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-22,P-F001,コーヒー豆 200g,食品,34,367,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-23,P-F001,コーヒー豆 200g,食品,20,347,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-24,P-F001,コーヒー豆 200g,食品,19,328,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-25,P-F001,コーヒー豆 200g,食品,26,302,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-26,P-F001,コーヒー豆 200g,食品,27,275,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-27,P-F001,コーヒー豆 200g,食品,32,243,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-28,P-F001,コーヒー豆 200g,食品,40,203,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-29,P-F001,コーヒー豆 200g,食品,46,157,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-30,P-F001,コーヒー豆 200g,食品,20,137,112,0,3,01_食品_日次売上_2023Q4.csv
2023-10-31,P-F001,コーヒー豆 200g,食品,19,118,112,0,3,01_食品_日次売上_2023Q4.csv
2023-11-01,P-F001,コーヒー豆 200g,食品,20,448,112,350,3,01_食品_日次売上_2023Q4.csv
2023-11-02,P-F001,コーヒー豆 200g,食品,28,420,112,0,3,01_食品_日次売上_2023Q4.csv
2023-11-03,P-F001,コーヒー豆 200g,食品,36,384,112,0,3,01_食品_日次売上_2023Q4.csv
2023-11-04,P-F001,コーヒー豆 200g,食品,37,347,112,0,3,01_食品_日次売上_2023Q4.csv
2023-11-05,P-F001,コーヒー豆 200g,食品,31,316,112,0,3,01_食品_日次売上_2023Q4.csv
2023-11-06,P-F001,コーヒー豆 200g,食品,18,298,112,0,3,01_食品_日次売上_2023Q4.csv
2023-11-07,P-F001,コーヒー豆 200g,食品,25,273,112,0,3,01_食品_日次売上_2023Q4.csv
2023-11-08,P-F001,コーヒー豆 200g,食品,28,245,112,0,3,01_食品_日次売上_2023Q4.csv
2023-11-09,P-F001,コーヒー豆 200g,食品,28,217,112,0,3,01_食品_日次売上_2023Q4.csv
