product_id,product_name,line_id,avg_variance_ratio,total_variance,variance_flag_最頻値
P001,部品A,ライン1,-0.01289189189154947,-22067.0,正常
P001,部品A,ライン2,0.035182215739560756,56748.0,正常
P001,部品A,ライン3,0.04074149641560725,46951.0,正常
P002,部品B,ライン1,0.020797399837029423,18363.0,正常
P002,部品B,ライン2,-0.008372472390115973,-19618.0,正常
P002,部品B,ライン3,0.04253600170286263,60454.0,正常
P003,部品C,ライン1,0.020774352155656817,17997.0,正常
P003,部品C,ライン2,0.03343064319328483,52782.0,正常
P003,部品C,ライン3,0.00922266955863736,20851.0,正常
P004,部品D,ライン1,-0.019846132441190354,-37576.0,正常
P004,部品D,ライン2,-0.054175074895971446,-74363.0,正常
P004,部品D,ライン3,0.009450560928123828,14251.0,正常
P005,部品E,ライン1,0.0008903382742776149,-16915.0,正常
P005,部品E,ライン2,0.008990402626791226,25840.0,正常
P005,部品E,ライン3,-0.010359679353361314,-20103.0,正常
P006,ユニットX,ライン1,0.021661608651322602,29504.0,正常
P006,ユニットX,ライン2,0.0035584818764973296,12266.0,正常
P006,ユニットX,ライン3,-0.008404429610432845,-20332.0,正常
P007,ユニットY,ライン1,0.009246333395712143,18498.0,正常
P007,ユニットY,ライン2,-0.014221271981607714,-19291.0,正常
P007,ユニットY,ライン3,0.0134186645848905,21192.0,正常
P008,ユニットZ,ライン1,0.04056359251763387,55957.0,正常
P008,ユニットZ,ライン2,-0.013656711389607199,-14674.0,正常
P008,ユニットZ,ライン3,-0.014180275450582702,-24026.0,正常
P009,製品P,ライン1,0.032527075155038714,48965.0,正常
P009,製品P,ライン2,0.0780310665315725,95611.0,正常
P009,製品P,ライン3,-0.0033553981672052127,-3979.0,正常
P010,製品Q,ライン1,-0.016393441716209243,-19918.0,正常
P010,製品Q,ライン2,0.021071957572264984,19356.0,正常
P010,製品Q,ライン3,0.012486681388035529,16991.0,正常
P011,PartA,ライン1,-0.06304310672535188,-82304.0,正常
P011,PartA,ライン2,-0.0316913314573506,-62401.0,正常
P011,PartA,ライン3,0.028586501963684115,46248.0,正常
P012,PartB,ライン1,0.010241136242867882,19707.0,正常
P012,PartB,ライン2,-0.008144116720185942,-17292.0,正常
P012,PartB,ライン3,-0.002207906212469956,-5807.0,正常
P013,PartC,ライン1,-0.028704482766750257,-40535.0,正常
P013,PartC,ライン2,-0.03087837415545967,-45556.0,正常
P013,PartC,ライン3,-0.001814115613219614,1494.0,正常
P014,SubAsmX,ライン1,0.046321301312032166,73835.0,正常
P014,SubAsmX,ライン2,-0.013401448763709575,-10114.0,正常
P014,SubAsmX,ライン3,-0.0020003286717133304,-8186.0,正常
P015,SubAsmY,ライン1,0.006972031127432243,11996.0,正常
P015,SubAsmY,ライン2,0.05995061808482366,103995.0,正常
P015,SubAsmY,ライン3,-0.020326874531940042,-39167.0,正常
P016,FinGoodA,ライン1,0.01588802683098164,21266.0,正常
P016,FinGoodA,ライン2,0.041077571530078946,56764.0,正常
P016,FinGoodA,ライン3,2.6434342397717104e-05,-3573.0,正常
P017,FinGoodB,ライン1,-0.055009822349938106,-98058.0,正常
P017,FinGoodB,ライン2,-0.0010806723914845023,10244.0,正常
P017,FinGoodB,ライン3,0.04879347312881753,87224.0,正常
P018,FinGoodC,ライン1,-0.062037767087145014,-76003.0,正常
P018,FinGoodC,ライン2,-0.006095682160377557,6291.0,正常
P018,FinGoodC,ライン3,-0.0274726993609954,-48328.0,正常
P019,FinGoodD,ライン1,0.020551590646130387,18554.0,正常
P019,FinGoodD,ライン2,-0.036505320623571515,-51570.0,正常
P019,FinGoodD,ライン3,0.053620666556253756,83707.0,正常
P020,FinGoodE,ライン1,0.0108290374490172,25385.0,正常
P020,FinGoodE,ライン2,-0.022380567551351198,-38776.0,正常
P020,FinGoodE,ライン3,0.00850706334292677,23713.0,正常
