timestamp,equipment_id,equipment_name,temperature,vibration,pressure,rpm,op_status,source_file,is_operating,temperature_z,vibration_z,pressure_z,rpm_z,max_z,alert_level,alert_flag,group_id,consecutive_alert
2024-01-01 06:00:00,E-001,旋盤機A,64.8,1.725,1.194,1441.5,1,01_旋盤機A_センサーログ_202401.csv,1,,,,,,NORMAL,0,1,0
2024-01-01 07:00:00,E-001,旋盤機A,63.49,1.538,1.068,1499.5,1,01_旋盤機A_センサーログ_202401.csv,1,,,,,,NORMAL,0,1,0
2024-01-01 08:00:00,E-001,旋盤機A,65.73,1.764,1.178,1502.0,1,01_旋盤機A_センサーログ_202401.csv,1,,,,,,NORMAL,0,1,0
2024-01-01 09:00:00,E-001,旋盤機A,75.64,1.64,1.014,1511.1,1,01_旋盤機A_センサーログ_202401.csv,1,,,,,,NORMAL,0,1,0
2024-01-01 10:00:00,E-001,旋盤機A,65.21,1.764,1.095,1494.5,1,01_旋盤機A_センサーログ_202401.csv,1,,,,,,NORMAL,0,1,0
2024-01-01 11:00:00,E-001,旋盤機A,66.6,1.867,1.085,1487.2,1,01_旋盤機A_センサーログ_202401.csv,1,-0.071,1.322,-0.302,-0.085,1.322,NORMAL,0,1,0
2024-01-01 12:00:00,E-001,旋盤機A,68.24,1.66,1.137,1512.4,1,01_旋盤機A_センサーログ_202401.csv,1,0.281,-0.455,0.423,0.818,0.818,NORMAL,0,1,0
2024-01-01 13:00:00,E-001,旋盤機A,72.15,2.142,1.059,1484.6,1,01_旋盤機A_センサーログ_202401.csv,1,1.064,2.083,-0.727,-0.31,2.083,WARNING,1,2,1
2024-01-01 14:00:00,E-001,旋盤機A,65.93,1.685,1.213,1496.6,1,01_旋盤機A_センサーログ_202401.csv,1,-0.408,-0.4,1.425,0.21,1.425,NORMAL,0,3,0
2024-01-01 15:00:00,E-001,旋盤機A,65.8,1.253,1.165,1522.3,1,01_旋盤機A_センサーログ_202401.csv,1,-0.416,-1.987,0.669,1.226,1.987,NORMAL,0,3,0
