property_id,property_name,area,property_type,cost_category,occurrence_date,cost_amount,vendor_name,is_urgent,cost_per_unit_flag,is_repair,source_file
P001,新宿区アパート001号,新宿区,アパート,管理費,2024-01-01,74561,ABC修繕,False,少額,False,maintenance_A_202401.csv
P001,新宿区アパート001号,新宿区,アパート,定期修繕,2024-01-09,629903,スターハウス,False,高額,True,maintenance_A_202401.csv
P001,新宿区アパート001号,新宿区,アパート,管理費,2024-01-07,197127,ABC修繕,False,中額,False,maintenance_A_202401.csv
P001,新宿区アパート001号,新宿区,アパート,設備点検,2024-01-23,94987,ABC修繕,False,少額,False,maintenance_A_202401.csv
P001,新宿区アパート001号,新宿区,アパート,清掃費,2024-01-21,66463,クリーンプロ,False,少額,False,maintenance_A_202401.csv
P001,新宿区アパート001号,新宿区,アパート,管理費,2024-01-28,91853,東和修繕,False,少額,False,maintenance_A_202401.csv
P001,新宿区アパート001号,新宿区,アパート,清掃費,2024-01-03,74597,グリーン清掃,False,少額,False,maintenance_A_202401.csv
P001,新宿区アパート001号,新宿区,アパート,定期修繕,2024-01-14,325772,クリーンプロ,False,中額,True,maintenance_A_202401.csv
P002,港区テナントビル002号,港区,テナントビル,緊急修繕,2024-01-04,838403,東和修繕,False,高額,True,maintenance_A_202401.csv
P002,港区テナントビル002号,港区,テナントビル,管理費,2024-01-12,62012,フジ設備管理,False,少額,False,maintenance_A_202401.csv
P002,港区テナントビル002号,港区,テナントビル,定期修繕,2024-01-12,403445,鈴木メンテナンス,False,中額,True,maintenance_A_202401.csv
P002,港区テナントビル002号,港区,テナントビル,定期修繕,2024-01-11,205907,ミドリ建築,False,中額,True,maintenance_A_202401.csv
P002,港区テナントビル002号,港区,テナントビル,緊急修繕,2024-01-09,1030870,田中設備,False,高額,True,maintenance_A_202401.csv
P002,港区テナントビル002号,港区,テナントビル,定期修繕,2024-01-02,488162,田中設備,False,中額,True,maintenance_A_202401.csv
P002,港区テナントビル002号,港区,テナントビル,定期修繕,2024-01-15,379946,東和修繕,False,中額,True,maintenance_A_202401.csv
P002,港区テナントビル002号,港区,テナントビル,管理費,2024-01-04,94862,関東メンテ,False,少額,False,maintenance_A_202401.csv
P002,港区テナントビル002号,港区,テナントビル,定期修繕,2024-01-29,271339,サンライズ不動産管理,False,中額,True,maintenance_A_202401.csv
P002,港区テナントビル002号,港区,テナントビル,清掃費,2024-01-03,65382,ハウスケア,False,少額,False,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,清掃費,2024-01-07,81856,ハウスケア,False,少額,False,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,清掃費,2024-01-11,48726,グリーン清掃,False,少額,False,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,定期修繕,2024-01-24,358607,東和修繕,False,中額,True,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,設備点検,2024-01-02,110644,グリーン清掃,False,中額,False,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,設備点検,2024-01-26,96155,ハウスケア,False,少額,False,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,設備点検,2024-01-25,92350,田中設備,False,少額,False,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,定期修繕,2024-01-13,245051,関東メンテ,False,中額,True,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,清掃費,2024-01-03,41915,クリーンプロ,False,少額,False,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,管理費,2024-01-29,78743,東京管理サービス,False,少額,False,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,定期修繕,2024-01-18,542666,スターハウス,False,高額,True,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,管理費,2024-01-23,150864,ミドリ建築,False,中額,False,maintenance_A_202401.csv
P003,品川区戸建て003号,品川区,戸建て,設備点検,2024-01-07,101348,関東メンテ,False,中額,False,maintenance_A_202401.csv
P004,目黒区マンション004号,目黒区,マンション,清掃費,2024-01-31,30425,東和修繕,False,少額,False,maintenance_A_202401.csv
P004,目黒区マンション004号,目黒区,マンション,緊急修繕,2024-01-27,1129805,関東メンテ,False,高額,True,maintenance_A_202401.csv
P004,目黒区マンション004号,目黒区,マンション,管理費,2024-01-01,128235,ニッケン建設,False,中額,False,maintenance_A_202401.csv
P004,目黒区マンション004号,目黒区,マンション,設備点検,2024-01-23,119818,ABC修繕,False,中額,False,maintenance_A_202401.csv
P004,目黒区マンション004号,目黒区,マンション,定期修繕,2024-01-22,492077,クリーンプロ,False,中額,True,maintenance_A_202401.csv
P004,目黒区マンション004号,目黒区,マンション,定期修繕,2024-01-17,665579,クリーンプロ,False,高額,True,maintenance_A_202401.csv
P004,目黒区マンション004号,目黒区,マンション,設備点検,2024-01-09,40074,スターハウス,False,少額,False,maintenance_A_202401.csv
P004,目黒区マンション004号,目黒区,マンション,緊急修繕,2024-01-20,1104680,ハウスケア,True,高額,True,maintenance_A_202401.csv
P004,目黒区マンション004号,目黒区,マンション,緊急修繕,2024-01-04,724903,ABC修繕,False,高額,True,maintenance_A_202401.csv
P004,目黒区マンション004号,目黒区,マンション,設備点検,2024-01-14,50322,鈴木メンテナンス,False,少額,False,maintenance_A_202401.csv
P005,渋谷区アパート005号,渋谷区,アパート,定期修繕,2024-01-26,426858,ミドリ建築,False,中額,True,maintenance_A_202401.csv
P005,渋谷区アパート005号,渋谷区,アパート,緊急修繕,2024-01-31,998762,サンライズ不動産管理,False,高額,True,maintenance_A_202401.csv
P005,渋谷区アパート005号,渋谷区,アパート,管理費,2024-01-17,114986,ABC修繕,False,中額,False,maintenance_A_202401.csv
P005,渋谷区アパート005号,渋谷区,アパート,管理費,2024-01-04,138627,山田建設,False,中額,False,maintenance_A_202401.csv
P005,渋谷区アパート005号,渋谷区,アパート,設備点検,2024-01-21,112603,ABC修繕,False,中額,False,maintenance_A_202401.csv
P005,渋谷区アパート005号,渋谷区,アパート,設備点検,2024-01-30,68864,山田建設,False,少額,False,maintenance_A_202401.csv
P005,渋谷区アパート005号,渋谷区,アパート,管理費,2024-01-06,65433,ABC修繕,False,少額,False,maintenance_A_202401.csv
P005,渋谷区アパート005号,渋谷区,アパート,管理費,2024-01-17,58234,ニッケン建設,False,少額,False,maintenance_A_202401.csv
P005,渋谷区アパート005号,渋谷区,アパート,緊急修繕,2024-01-19,228598,グリーン清掃,False,中額,True,maintenance_A_202401.csv
P005,渋谷区アパート005号,渋谷区,アパート,清掃費,2024-01-30,58080,関東メンテ,False,少額,False,maintenance_A_202401.csv
P005,渋谷区アパート005号,渋谷区,アパート,定期修繕,2024-01-29,698782,スターハウス,False,高額,True,maintenance_A_202401.csv
P006,新宿区テナントビル006号,新宿区,テナントビル,管理費,2024-01-08,155544,東和修繕,False,中額,False,maintenance_A_202401.csv
P006,新宿区テナントビル006号,新宿区,テナントビル,緊急修繕,2024-01-15,309153,ABC修繕,False,中額,True,maintenance_A_202401.csv
P006,新宿区テナントビル006号,新宿区,テナントビル,設備点検,2024-01-13,98800,東京管理サービス,False,少額,False,maintenance_A_202401.csv
P006,新宿区テナントビル006号,新宿区,テナントビル,清掃費,2024-01-03,54050,グリーン清掃,False,少額,False,maintenance_A_202401.csv
P006,新宿区テナントビル006号,新宿区,テナントビル,清掃費,2024-01-21,62742,ニッケン建設,False,少額,False,maintenance_A_202401.csv
P006,新宿区テナントビル006号,新宿区,テナントビル,管理費,2024-01-11,166164,クリーンプロ,False,中額,False,maintenance_A_202401.csv
P006,新宿区テナントビル006号,新宿区,テナントビル,設備点検,2024-01-13,52833,山田建設,False,少額,False,maintenance_A_202401.csv
P006,新宿区テナントビル006号,新宿区,テナントビル,設備点検,2024-01-27,149579,山田建設,False,中額,False,maintenance_A_202401.csv
P006,新宿区テナントビル006号,新宿区,テナントビル,管理費,2024-01-02,111965,東京管理サービス,False,中額,False,maintenance_A_202401.csv
P006,新宿区テナントビル006号,新宿区,テナントビル,清掃費,2024-01-21,93653,サンライズ不動産管理,False,少額,False,maintenance_A_202401.csv
P006,新宿区テナントビル006号,新宿区,テナントビル,定期修繕,2024-01-21,520521,ハウスケア,False,高額,True,maintenance_A_202401.csv
P007,港区戸建て007号,港区,戸建て,設備点検,2024-01-06,126752,東和修繕,False,中額,False,maintenance_A_202401.csv
P007,港区戸建て007号,港区,戸建て,清掃費,2024-01-01,50289,ABC修繕,False,少額,False,maintenance_A_202401.csv
P007,港区戸建て007号,港区,戸建て,緊急修繕,2024-01-13,536551,スターハウス,False,高額,True,maintenance_A_202401.csv
P007,港区戸建て007号,港区,戸建て,設備点検,2024-01-29,47989,東和修繕,False,少額,False,maintenance_A_202401.csv
P007,港区戸建て007号,港区,戸建て,緊急修繕,2024-01-25,199884,サンライズ不動産管理,True,中額,True,maintenance_A_202401.csv
P007,港区戸建て007号,港区,戸建て,設備点検,2024-01-09,109615,東京管理サービス,False,中額,False,maintenance_A_202401.csv
P007,港区戸建て007号,港区,戸建て,管理費,2024-01-22,183124,鈴木メンテナンス,False,中額,False,maintenance_A_202401.csv
P007,港区戸建て007号,港区,戸建て,定期修繕,2024-01-23,171849,スターハウス,False,中額,True,maintenance_A_202401.csv
P008,品川区マンション008号,品川区,マンション,設備点検,2024-01-21,114085,関東メンテ,False,中額,False,maintenance_A_202401.csv
P008,品川区マンション008号,品川区,マンション,緊急修繕,2024-01-08,626865,東和修繕,False,高額,True,maintenance_A_202401.csv
P008,品川区マンション008号,品川区,マンション,緊急修繕,2024-01-04,580560,東京管理サービス,False,高額,True,maintenance_A_202401.csv
P008,品川区マンション008号,品川区,マンション,緊急修繕,2024-01-28,1038869,クリーンプロ,False,高額,True,maintenance_A_202401.csv
P008,品川区マンション008号,品川区,マンション,管理費,2024-01-08,52441,サンライズ不動産管理,False,少額,False,maintenance_A_202401.csv
P008,品川区マンション008号,品川区,マンション,設備点検,2024-01-19,113792,鈴木メンテナンス,False,中額,False,maintenance_A_202401.csv
P008,品川区マンション008号,品川区,マンション,管理費,2024-01-20,190937,ABC修繕,False,中額,False,maintenance_A_202401.csv
P008,品川区マンション008号,品川区,マンション,設備点検,2024-01-13,74760,東京管理サービス,False,少額,False,maintenance_A_202401.csv
P009,目黒区アパート009号,目黒区,アパート,設備点検,2024-01-28,79240,ハウスケア,False,少額,False,maintenance_A_202401.csv
P009,目黒区アパート009号,目黒区,アパート,管理費,2024-01-28,85203,グリーン清掃,False,少額,False,maintenance_A_202401.csv
P009,目黒区アパート009号,目黒区,アパート,管理費,2024-01-12,78058,東和修繕,False,少額,False,maintenance_A_202401.csv
