date,warehouse,item_code,item_name,category,stock_qty,min_stock_qty,unit_cost,received_qty,shipped_qty,stock_imputed,source_file
2024-01-04,東京第1倉庫,ITM-7688,食用油18L,食料品,12.0,4.0,3200.0,5.0,4.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-03,東京第1倉庫,ITM-4662,グリース缶,工業用品,1.0,6.0,1800.0,8.0,0.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-18,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,43.0,19.0,1500.0,18.0,4.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-26,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,19.0,10.0,4500.0,5.0,0.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-03,東京第1倉庫,ITM-8517,作業着M,衣料品,7.0,2.0,4200.0,0.0,2.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-15,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,526.0,197.0,120.0,92.0,73.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-07,東京第1倉庫,ITM-5571,コメ25kg,食料品,74.0,16.0,8000.0,7.0,1.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-13,東京第1倉庫,ITM-7704,コネクタC,電子部品,87.0,32.0,450.0,6.0,8.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-23,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,28.0,9.0,4500.0,4.0,5.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-23,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,637.0,168.0,120.0,58.0,4.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-26,東京第1倉庫,ITM-7704,コネクタC,電子部品,144.0,25.0,450.0,28.0,10.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-07,東京第1倉庫,ITM-5054,安全靴26cm,衣料品,5.0,3.0,6800.0,0.0,0.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-24,東京第1倉庫,ITM-1974,切削油5L,工業用品,27.0,5.0,2500.0,3.0,2.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-08,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,81.0,17.0,1500.0,4.0,10.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-06,東京第1倉庫,ITM-5767,手袋L,衣料品,299.0,42.0,320.0,33.0,16.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-18,東京第1倉庫,ITM-5571,コメ25kg,食料品,38.0,16.0,8000.0,10.0,1.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-10,東京第1倉庫,ITM-8517,作業着M,衣料品,13.0,2.0,4200.0,2.0,2.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-25,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,47.0,22.0,1500.0,16.0,9.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-07,東京第1倉庫,ITM-4211,ティッシュ箱,日用品,102.0,28.0,1200.0,16.0,0.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-20,東京第1倉庫,ITM-7704,コネクタC,電子部品,137.0,20.0,450.0,26.0,9.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-08,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,17.0,11.0,4500.0,7.0,6.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-03,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,524.0,112.0,120.0,67.0,67.0,False,01_東京第1倉庫_在庫_202401.csv
2024-01-28,東京第1倉庫,ITM-4662,グリース缶,工業用品,37.0,11.0,1800.0,3.0,5.0,False,01_東京第1倉庫_在庫_202401.csv
